Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees,Change in Rank,Years on Global 500 List
1,Walmart,"$648,125",6%,"$15,511",32.80%,"$252,399","21,00,000",,30
2,Amazon,"$574,785",11.80%,"$30,425",,"$527,854","15,25,000",2,16
3,State Grid,"$545,947.5",3%,"$9,204.3",12.40%,"$781,126.2","13,61,423",,24
4,Saudi Aramco,"$494,890.1",-18%,"$120,699.3",-24.10%,"$660,819.2","73,311",-2,6
5,Sinopec Group,"$429,699.7",-8.80%,"$9,393.4",-2.70%,"$382,688","5,13,434",1,26
6,China National Petroleum,"$421,713.6",-12.70%,"$21,294.7",1%,"$630,562","10,26,301",-1,24
7,Apple,"$383,285",-2.80%,"$96,995",-2.80%,"$352,583","1,61,000",1,22
8,UnitedHealth Group,"$371,622",14.60%,"$22,381",11.20%,"$273,720","4,40,000",2,28
9,Berkshire Hathaway,"$364,482",20.70%,"$96,223",,"$1,069,978","3,96,500",5,28
10,CVS Health,"$357,776",11%,"$8,344",101.10%,"$249,728","2,59,500",1,29
11,Volkswagen,"$348,408.1",18.60%,"$17,944.5",10.50%,"$663,063.8","6,84,025",4,30
12,Exxon Mobil,"$344,582",-16.70%,"$36,010",-35.40%,"$376,317","61,500",-5,30
13,Shell,"$323,183",-16.30%,"$19,359",-54.20%,"$406,270","1,03,000",-4,30
14,China State Construction Engineering,"$320,430.5",4.80%,"$4,371.5",3.30%,"$410,143.8","3,82,894",-1,13
15,Toyota Motor,"$312,018.2",13.70%,"$34,214.4",88.90%,"$595,915.2","3,80,793",4,30
16,McKesson,"$308,951",11.70%,"$3,002",-15.70%,"$67,443","48,000",2,30
17,Alphabet,"$307,394",8.70%,"$73,795",23.10%,"$402,392","1,82,502",,16
18,Cencora,"$262,173.4",9.90%,"$1,745.3",2.70%,"$62,558.8","44,000",6,25
19,Trafigura Group,"$244,280.2",-23.30%,"$7,393.2",5.70%,"$83,382.5","12,479",-7,10
20,Costco Wholesale,"$242,290",6.80%,"$6,292",7.70%,"$68,994","3,16,000",6,30
21,JPMorgan Chase,"$239,425",54.70%,"$49,552",31.50%,"$3,875,393","3,09,926",32,30
22,Industrial & Commercial Bank of China,"$222,484.2",3.60%,"$51,417",-4.10%,"$6,297,314.5","4,19,252",6,26
23,TotalEnergies,"$218,945",-16.90%,"$21,384",4.20%,"$283,654","1,02,579",-3,30
24,Glencore,"$217,829",-14.90%,"$4,280",-75.30%,"$123,869","83,426",-3,14
25,BP,"$213,032",-14.40%,"$15,239",,"$280,294","79,400",-3,30
26,Microsoft,"$211,915",6.90%,"$72,361",-0.50%,"$411,976","2,21,000",4,27
27,Cardinal Health,"$205,012",13%,$261,,"$43,417","47,520",7,27
28,Stellantis,"$204,908.3",8.50%,"$20,103.4",13.80%,"$223,247.2","2,58,275",3,19
29,Chevron,"$200,949",-18.40%,"$21,369",-39.80%,"$261,632","45,600",-6,30
30,China Construction Bank,"$199,826.1",-1.40%,"$46,990",-2.40%,"$5,399,535.9","3,76,871",-1,25
31,Samsung Electronics,"$198,256.7",-15.30%,"$11,081.7",-73.90%,"$351,936.8","2,67,860",-6,30
32,Hon Hai Precision Industry,"$197,876",-11.10%,"$4,562.9",-4%,"$128,549.6","6,21,393",-5,20
33,Cigna,"$195,265",8.20%,"$5,164",-22.60%,"$152,761","71,413",2,29
34,Agricultural Bank of China,"$192,398.3",2.90%,"$38,048.7",-1.20%,"$5,617,654.6","4,51,003",-2,25
35,China Railway Engineering Group,"$178,562.9",4%,"$2,152.5",5.80%,"$258,817.8","3,14,149",4,10
36,Ford Motor,"$176,191",11.50%,"$4,347",,"$273,310","1,77,000",10,30
37,Bank of China,"$172,327.6",9.80%,"$32,758.3",-3.10%,"$4,569,326.6","3,06,931",12,30
38,Bank of America,"$171,912",49.40%,"$26,515",-3.70%,"$3,180,151","2,12,985",44,30
39,General Motors,"$171,842",9.60%,"$10,127",1.90%,"$273,064","1,63,000",11,30
40,Elevance Health,"$171,340",9.40%,"$5,987",-0.60%,"$108,928","1,04,900",11,23
41,BMW Group,"$168,102.6",12.10%,"$12,205.2",-35.30%,"$277,104","1,54,950",16,30
42,Mercedes-Benz Group,"$165,637.8",5%,"$15,417",1.10%,"$290,503.6","1,66,056",5,30
43,China Railway Construction,"$160,847.4",-1.30%,"$1,701",-5.50%,"$234,976.9","3,36,433",,13
44,China Baowu Steel Group,"$157,216.3",-2.80%,"$2,493.8",,"$191,964.1","2,58,697",,21
45,Citigroup,"$156,820",55.20%,"$9,228",-37.80%,"$2,411,834","2,37,925",54,30
